Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Huasheng Haoche,https://www.crunchbase.com/funding_round/huashenghaoche-series-d--be5fb590,Huasheng Haoche,https://www.crunchbase.com/organization/huashenghaoche,Series D,210000000,USD,210000000,2018-10-25
Series B - ICE Tech Science & Technology,https://www.crunchbase.com/funding_round/ice-tech-science-technology-series-b--5a4e4fd3,ICE Tech Science & Technology,https://www.crunchbase.com/organization/ice-tech-science-technology,Series B,,,,2018-08-29
Series A - iBeiDiao,https://www.crunchbase.com/funding_round/ibeidiao-series-a--4e931b2b,iBeiDiao,https://www.crunchbase.com/organization/ibeidiao,Series A,,,,2018-08-23
Series A - Nervos Network,https://www.crunchbase.com/funding_round/nervos-series-a--9b51da4f,Nervos Network,https://www.crunchbase.com/organization/nervos,Series A,28000000,USD,28000000,2018-07-18
Series B - Nattitude,https://www.crunchbase.com/funding_round/nattitude-series-b--da4980bc,Nattitude,https://www.crunchbase.com/organization/nattitude,Series B,,,,2018-05-30
Venture Round - Hashgard,https://www.crunchbase.com/funding_round/hashgard-series-unknown--a847be92,Hashgard,https://www.crunchbase.com/organization/hashgard,Venture - Series Unknown,,,,2018-05-25
Seed Round - Cipher Technology,https://www.crunchbase.com/funding_round/cipher-technology-seed--cceb295e,Cipher Technology,https://www.crunchbase.com/organization/cipher-technology,Seed,,,,2018-05-21
Angel Round - Xingeyuan,https://www.crunchbase.com/funding_round/xingeyuan-angel--cff9ff03,Xingeyuan,https://www.crunchbase.com/organization/xingeyuan,Angel,,,,2018-05-18
Seed Round - BluePHA,https://www.crunchbase.com/funding_round/bluepha-seed--d29636a2,BluePHA,https://www.crunchbase.com/organization/bluepha,Seed,,,,2018-05-10
Seed Round - Coyotebio-Lab,https://www.crunchbase.com/funding_round/coyotebio-lab-seed--70b394c8,Coyotebio-Lab,https://www.crunchbase.com/organization/coyotebio-lab,Seed,,,,2018-04-25
Series C - Patpat,https://www.crunchbase.com/funding_round/patpat-series-c--519cb36f,Patpat,https://www.crunchbase.com/organization/patpat,Series C,47800000,USD,47800000,2018-04-19
Seed Round - Cobo Wallet,https://www.crunchbase.com/funding_round/cobo-wallet-seed--4202ad47,Cobo Wallet,https://www.crunchbase.com/organization/cobo-wallet,Seed,,,,2018-04-18
Series A - Data Pipeline,https://www.crunchbase.com/funding_round/data-pipeline-series-a--2aa06774,Data Pipeline,https://www.crunchbase.com/organization/data-pipeline,Series A,3300000,USD,3300000,2018-04-09
Angel Round - BiShiJie,https://www.crunchbase.com/funding_round/bishijie-angel--c8fcf33d,BiShiJie,https://www.crunchbase.com/organization/bishijie,Angel,,,,2018-03-13
Seed Round - Taxa,https://www.crunchbase.com/funding_round/taxa-seed--97f6e053,Taxa,https://www.crunchbase.com/organization/taxa,Seed,,,,2018-03-07
Series A - Hui Art Space,https://www.crunchbase.com/funding_round/hui-art-space-series-a--181e93db,Hui Art Space,https://www.crunchbase.com/organization/hui-art-space,Series A,3200000,USD,3200000,2018-03-01
Series A - Trip.io,https://www.crunchbase.com/funding_round/trip-io-series-a--cfa6dc0c,Trip.io,https://www.crunchbase.com/organization/trip-io,Series A,16000000,USD,16000000,2018-02-28
Series C - Club Factory,https://www.crunchbase.com/funding_round/club-factory-series-c--a9673b48,Club Factory,https://www.crunchbase.com/organization/club-factory,Series C,100000000,USD,100000000,2018-02-14
Seed Round - covariant.ai,https://www.crunchbase.com/funding_round/embodied-intelligence-seed--8c60dd43,covariant.ai,https://www.crunchbase.com/organization/embodied-intelligence,Seed,7000000,USD,7000000,2017-11-07
Series D - Qingqing Jiajiao,https://www.crunchbase.com/funding_round/qingqing-jiajiao-series-d--c28fcd92,Qingqing Jiajiao,https://www.crunchbase.com/organization/qingqing-jiajiao,Series D,55000000,USD,55000000,2017-10-31
Series D - Changingedu,https://www.crunchbase.com/funding_round/changingedu-series-d--343e0811,Changingedu,https://www.crunchbase.com/organization/changingedu,Series D,55000000,USD,55000000,2017-10-30
Series A - SoundAI,https://www.crunchbase.com/funding_round/soundai-series-a--e3b11c03,SoundAI,https://www.crunchbase.com/organization/soundai,Series A,100000000,CNY,15038046,2017-10-27
Series B - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-b--efe1a4bb,PingCAP,https://www.crunchbase.com/organization/pingcap,Series B,15000000,USD,15000000,2017-06-13
Series A - iBeiDiao,https://www.crunchbase.com/funding_round/ibeidiao-series-a--27c0f35e,iBeiDiao,https://www.crunchbase.com/organization/ibeidiao,Series A,,,,2017-05-03
Series B - Tangdou,https://www.crunchbase.com/funding_round/tangdou-series-b--6ed43c53,Tangdou,https://www.crunchbase.com/organization/tangdou,Series B,20000000,USD,20000000,2016-11-25
Series B - Shenma Finance,https://www.crunchbase.com/funding_round/shenma-finance-series-b--db797de0,Shenma Finance,https://www.crunchbase.com/organization/shenma-finance,Series B,100000000,CNY,14545488,2016-11-17
Seed Round - SoundAI,https://www.crunchbase.com/funding_round/soundai-seed--5c88f0ad,SoundAI,https://www.crunchbase.com/organization/soundai,Seed,160000000,CNY,23988495,2016-10-01
Seed Round - Robby Technologies,https://www.crunchbase.com/funding_round/robby-technologies-seed--29d62d08,Robby Technologies,https://www.crunchbase.com/organization/robby-technologies,Seed,2120000,USD,2120000,2016-09-01
Series C - Unity Technologies,https://www.crunchbase.com/funding_round/unity-technologies-series-c--4a87f25b,Unity Technologies,https://www.crunchbase.com/organization/unity-technologies,Series C,181000000,USD,181000000,2016-07-13
Series A - LUX,https://www.crunchbase.com/funding_round/lux-2-series-a--76b3db2e,LUX,https://www.crunchbase.com/organization/lux-2,Series A,3500000,USD,3500000,2016-06-07
Series A - RigUp,https://www.crunchbase.com/funding_round/rigup-series-a--f9060557,RigUp,https://www.crunchbase.com/organization/rigup,Series A,15000000,USD,15000000,2016-04-14
Series B - Insta360,https://www.crunchbase.com/funding_round/insta360-series-b--0c7cbe1b,Insta360,https://www.crunchbase.com/organization/insta360,Series B,,,,2016-03-15
Venture Round - 360 Mobile Security,https://www.crunchbase.com/funding_round/360-mobile-security-series-unknown--85dac87a,360 Mobile Security,https://www.crunchbase.com/organization/360-mobile-security,Venture - Series Unknown,100000000,USD,100000000,2016-02-19
