Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - Babel Bank,https://www.crunchbase.com/funding_round/babel-bank-angel--74f3291c,Babel Bank,https://www.crunchbase.com/organization/babel-bank,Angel,,,,2018-09-10
Series A - Lequ Music,https://www.crunchbase.com/funding_round/lequ-music-series-a--f4e5ae79,Lequ Music,https://www.crunchbase.com/organization/lequ-music,Series A,,,,2018-09-04
Series A - Black Fish,https://www.crunchbase.com/funding_round/black-fish-series-a--43a7e837,Black Fish,https://www.crunchbase.com/organization/black-fish,Series A,50000000,USD,50000000,2018-08-22
Series C - eBroker,https://www.crunchbase.com/funding_round/ebroker-series-c--7c12c2f1,eBroker,https://www.crunchbase.com/organization/ebroker,Series C,,,,2018-07-12
Series A - Kangaroo Mama,https://www.crunchbase.com/funding_round/kangaroo-mama-series-a--536715ae,Kangaroo Mama,https://www.crunchbase.com/organization/kangaroo-mama,Series A,,,,2018-06-29
Series B - Huohua Siwei,https://www.crunchbase.com/funding_round/huohua-siwei-series-b--3f5e2d90,Huohua Siwei,https://www.crunchbase.com/organization/huohua-siwei,Series B,20000000,USD,20000000,2018-06-20
Series B - Huohua Siwei,https://www.crunchbase.com/funding_round/huohua-siwei-series-b--316bee3c,Huohua Siwei,https://www.crunchbase.com/organization/huohua-siwei,Series B,15000000,USD,15000000,2018-05-10
Series A - WorkTrans,https://www.crunchbase.com/funding_round/worktrans-series-a--f69277a7,WorkTrans,https://www.crunchbase.com/organization/worktrans,Series A,15900000,USD,15900000,2018-04-09
Series C - Liking Fit,https://www.crunchbase.com/funding_round/liking-fit-series-c--fecc0d13,Liking Fit,https://www.crunchbase.com/organization/liking-fit,Series C,300000000,CNY,46599046,2018-01-15
Series B - Liking Fit,https://www.crunchbase.com/funding_round/liking-fit-series-b--af519476,Liking Fit,https://www.crunchbase.com/organization/liking-fit,Series B,50000000,CNY,7766507,2018-01-15
Series A - Black Fish,https://www.crunchbase.com/funding_round/black-fish-series-a--028601b0,Black Fish,https://www.crunchbase.com/organization/black-fish,Series A,145000000,USD,145000000,2018-01-10
Series B - 2Boss,https://www.crunchbase.com/funding_round/2boss-series-b--f0dba932,2Boss,https://www.crunchbase.com/organization/2boss,Series B,10000000,USD,10000000,2018-01-05
Series B - Zhulilaiye,https://www.crunchbase.com/funding_round/zhulilaiye-series-b--bbb51151,Zhulilaiye,https://www.crunchbase.com/organization/zhulilaiye,Series B,,,,2017-12-21
Series A - SoupMaster,https://www.crunchbase.com/funding_round/soupmaster-series-a--1290efdc,SoupMaster,https://www.crunchbase.com/organization/soupmaster,Series A,,,,2017-12-07
Series B - 51VR,https://www.crunchbase.com/funding_round/51wofang-series-b--c12d27c2,51VR,https://www.crunchbase.com/organization/51wofang,Series B,32000000,USD,32000000,2017-12-06
Series A - Xingbianli,https://www.crunchbase.com/funding_round/xingbianli-series-a--c6acd172,Xingbianli,https://www.crunchbase.com/organization/xingbianli,Series A,380000000,CNY,57572704,2017-11-01
Venture Round - Airburg,https://www.crunchbase.com/funding_round/airburg-series-unknown--a206819c,Airburg,https://www.crunchbase.com/organization/airburg,Venture - Series Unknown,,,,2017-09-11
Angel Round - Xingbianli,https://www.crunchbase.com/funding_round/xingbianli-angel--7769a21d,Xingbianli,https://www.crunchbase.com/organization/xingbianli,Angel,100000000,CNY,15313712,2017-09-04
Series D - QingCloud,https://www.crunchbase.com/funding_round/qingcloud-series-d--8754f758,QingCloud,https://www.crunchbase.com/organization/qingcloud,Series D,1080000000,CNY,158832709,2017-06-12
Series B - Xiaoyu Link,https://www.crunchbase.com/funding_round/xiaoyu-link-series-b--b6dd0c35,Xiaoyu Link,https://www.crunchbase.com/organization/xiaoyu-link,Series B,18000000,USD,18000000,2017-03-22
Series A - eBroker,https://www.crunchbase.com/funding_round/ebroker-series-a--d58a90e8,eBroker,https://www.crunchbase.com/organization/ebroker,Series A,,,,2016-11-20
Venture Round - PlusAI,https://www.crunchbase.com/funding_round/plusai-series-unknown--c323ef6e,PlusAI,https://www.crunchbase.com/organization/plusai,Venture - Series Unknown,,,,2016-11-11
