Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - MSParis,https://www.crunchbase.com/funding_round/ms-paris-series-b--3096083b,MSParis,https://www.crunchbase.com/organization/ms-paris,Series B,,,,2018-10-30
Series A - Data Enlighten,https://www.crunchbase.com/funding_round/data-enlighten-series-a--74e64de0,Data Enlighten,https://www.crunchbase.com/organization/data-enlighten,Series A,14000000,USD,14000000,2018-10-25
Series A - AFA Finance,https://www.crunchbase.com/funding_round/afa-finance-series-a--5af6d35b,AFA Finance,https://www.crunchbase.com/organization/afa-finance,Series A,,,,2018-10-22
Series A - Champzee,https://www.crunchbase.com/funding_round/champzee-series-a--d464e0f0,Champzee,https://www.crunchbase.com/organization/champzee,Series A,,,,2018-09-25
Series B - Anxinji,https://www.crunchbase.com/funding_round/anxinji-series-b--aefcda91,Anxinji,https://www.crunchbase.com/organization/anxinji,Series B,14600000,USD,14600000,2018-09-17
Series A - Hainiaowo,https://www.crunchbase.com/funding_round/hainiaowo-series-a--b4b3711a,Hainiaowo,https://www.crunchbase.com/organization/hainiaowo,Series A,,,,2018-08-31
Series D - Snowball Finance,https://www.crunchbase.com/funding_round/snowball-finance-series-d--e4297429,Snowball Finance,https://www.crunchbase.com/organization/snowball-finance,Series D,120000000,USD,120000000,2018-07-17
Corporate Round - Xingbianli,https://www.crunchbase.com/funding_round/xingbianli-corporate-round--3f00562c,Xingbianli,https://www.crunchbase.com/organization/xingbianli,Corporate Round,,,,2018-06-11
Series F - Hellobike,https://www.crunchbase.com/funding_round/hellobike-series-f--d8cb58be,Hellobike,https://www.crunchbase.com/organization/hellobike,Series F,2060000000,CNY,320852283,2018-06-01
Series D - Orbbec,https://www.crunchbase.com/funding_round/orbbec-series-d--22afd645,Orbbec,https://www.crunchbase.com/organization/orbbec,Series D,200000000,USD,200000000,2018-05-21
Series B - Pilipa,https://www.crunchbase.com/funding_round/pilipa-series-b--c63ebd1b,Pilipa,https://www.crunchbase.com/organization/pilipa,Series B,100000000,CNY,15678650,2018-05-18
Private Equity Round - Schoolpal,https://www.crunchbase.com/funding_round/schoolpal-private-equity--3991e62c,Schoolpal,https://www.crunchbase.com/organization/schoolpal,Private Equity,,,,2018-05-11
Series A - Xiyun International,https://www.crunchbase.com/funding_round/xiyun-international-series-a--a8c6170f,Xiyun International,https://www.crunchbase.com/organization/xiyun-international,Series A,200000000,USD,200000000,2018-05-09
Corporate Round - BKash Sahkil,https://www.crunchbase.com/funding_round/bkash-corporate-round--92f2a738,BKash Sahkil,https://www.crunchbase.com/organization/bkash,Corporate Round,,,,2018-04-27
Series E - Hellobike,https://www.crunchbase.com/funding_round/hellobike-series-e--cbdf7c0f,Hellobike,https://www.crunchbase.com/organization/hellobike,Series E,700000000,USD,700000000,2018-04-13
Series C - 8Trip,https://www.crunchbase.com/funding_round/8trip-series-c--020b97f1,8Trip,https://www.crunchbase.com/organization/8trip,Series C,600000000,CNY,95129375,2018-04-09
Series F - ofo,https://www.crunchbase.com/funding_round/ofo-series-f--15244bb8,ofo,https://www.crunchbase.com/organization/ofo,Series F,866000000,USD,866000000,2018-03-13
Private Equity Round - Telenor Microfinance Bank (TMB),https://www.crunchbase.com/funding_round/tameer-microfinance-bank-private-equity--dd35ac6f,Telenor Microfinance Bank (TMB),https://www.crunchbase.com/organization/tameer-microfinance-bank,Private Equity,184500000,USD,184500000,2018-03-13
Venture Round - Shenzhen Shunyitong Information Technology Co,https://www.crunchbase.com/funding_round/shenzhen-shunyitong-information-technology-co-series-unknown--78894bcc,Shenzhen Shunyitong Information Technology Co,https://www.crunchbase.com/organization/shenzhen-shunyitong-information-technology-co,Venture - Series Unknown,200000000,CNY,31500527,2018-02-15
Series I - Zomato,https://www.crunchbase.com/funding_round/zomato-series-i--6b4b45d1,Zomato,https://www.crunchbase.com/organization/zomato,Series I,200000000,USD,200000000,2018-02-01
Series C - Mogoroom,https://www.crunchbase.com/funding_round/mogoroom-series-c--3a2ed804,Mogoroom,https://www.crunchbase.com/organization/mogoroom,Series C,30000000,USD,30000000,2018-01-02
Series D - Hellobike,https://www.crunchbase.com/funding_round/hellobike-series-d--f75956ab,Hellobike,https://www.crunchbase.com/organization/hellobike,Series D,1000000000,USD,1000000000,2017-12-27
Series C - Megvii Technology,https://www.crunchbase.com/funding_round/megvii-technology-series-c--19a5b1c1,Megvii Technology,https://www.crunchbase.com/organization/megvii-technology,Series C,460000000,USD,460000000,2017-11-01
Series A - DeePhi Tech,https://www.crunchbase.com/funding_round/deephi-tech-series-a--3dde8a5c,DeePhi Tech,https://www.crunchbase.com/organization/deephi-tech,Series A,40000000,USD,40000000,2017-10-24
Series A - TigerGraph,https://www.crunchbase.com/funding_round/tigergraph-series-a--a895dcd4,TigerGraph,https://www.crunchbase.com/organization/tigergraph,Series A,31000000,USD,31000000,2017-09-19
Funding Round - ofo,https://www.crunchbase.com/funding_round/ofo-undisclosed--5eeefc21,ofo,https://www.crunchbase.com/organization/ofo,Funding Round,,,,2017-04-24
Series A - Youon Bike,https://www.crunchbase.com/funding_round/youon-bike-series-a--e39776e9,Youon Bike,https://www.crunchbase.com/organization/youon-bike,Series A,,,,2017-03-02
Private Equity Round - Kakao Pay,https://www.crunchbase.com/funding_round/kakao-pay-private-equity--4112d24f,Kakao Pay,https://www.crunchbase.com/organization/kakao-pay,Private Equity,200000000,USD,200000000,2017-02-20
Series C - Souche,https://www.crunchbase.com/funding_round/souche-series-c--dc1f1c75,Souche,https://www.crunchbase.com/organization/souche,Series C,100000000,USD,100000000,2016-11-16
Private Equity Round - Yum! China,https://www.crunchbase.com/funding_round/yum-china-private-equity--d4282399,Yum! China,https://www.crunchbase.com/organization/yum-china,Private Equity,460000000,USD,460000000,2016-09-02
Funding Round - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-undisclosed--3a3f949f,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Funding Round,4500000000,USD,4500000000,2016-06-15
Venture Round - Shanghai Suntime Information Technology,https://www.crunchbase.com/funding_round/shanghai-suntime-information-technology-series-unknown--3779e180,Shanghai Suntime Information Technology,https://www.crunchbase.com/organization/shanghai-suntime-information-technology,Venture - Series Unknown,35000000,USD,35000000,2016-06-12
Series A - Taobao Movie,https://www.crunchbase.com/funding_round/taobao-movie-series-a--cc0c0050,Taobao Movie,https://www.crunchbase.com/organization/taobao-movie,Series A,1700000000,CNY,260476957,2016-05-16
Funding Round - ELEME,https://www.crunchbase.com/funding_round/ele-me-undisclosed--c6498b90,ELEME,https://www.crunchbase.com/organization/ele-me,Funding Round,1250000000,USD,1250000000,2016-04-13
Series C - M-DAQ,https://www.crunchbase.com/funding_round/m-daq-series-c--39413c66,M-DAQ,https://www.crunchbase.com/organization/m-daq,Series C,87000000,USD,87000000,2015-11-01
Series D - 36Kr,https://www.crunchbase.com/funding_round/36kr-series-d--e2766105,36Kr,https://www.crunchbase.com/organization/36kr,Series D,,,,2015-10-16
Funding Round - One97 Communications,https://www.crunchbase.com/funding_round/one97-communications-undisclosed--56859553,One97 Communications,https://www.crunchbase.com/organization/one97-communications,Funding Round,680000000,USD,680000000,2015-09-29
Series E - Qudian,https://www.crunchbase.com/funding_round/qufenqi-series-e--30c35ca8,Qudian,https://www.crunchbase.com/organization/qufenqi,Series E,200000000,USD,200000000,2015-08-11
Funding Round - Koubei.com,https://www.crunchbase.com/funding_round/koubei-undisclosed--59e8b13d,Koubei.com,https://www.crunchbase.com/organization/koubei,Funding Round,3000000000,CNY,485262889,2015-06-01
Funding Round - One97 Communications,https://www.crunchbase.com/funding_round/one97-communications-undisclosed--128d4202,One97 Communications,https://www.crunchbase.com/organization/one97-communications,Funding Round,200000000,USD,200000000,2015-02-05
Series B - V-Key,https://www.crunchbase.com/funding_round/v-key-series-b--db252cbf,V-Key,https://www.crunchbase.com/organization/v-key,Series B,12000000,USD,12000000,2014-11-17
