Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - DaoCloud,https://www.crunchbase.com/funding_round/daocloud-series-b--6e0da8ff,DaoCloud,https://www.crunchbase.com/organization/daocloud,Series B,14600000,USD,14600000,2018-09-20
Series A - Ultrain,https://www.crunchbase.com/funding_round/ultrain-series-a--9087311f,Ultrain,https://www.crunchbase.com/organization/ultrain,Series A,20000000,USD,20000000,2018-07-30
Initial Coin Offering - Contentbox,https://www.crunchbase.com/funding_round/contentbox-initial-coin-offering--120c0888,Contentbox,https://www.crunchbase.com/organization/contentbox,Initial Coin Offering,,,,2018-06-01
Series C - Zhao You,https://www.crunchbase.com/funding_round/51zhaoyou-com-series-c--b6e3f756,Zhao You,https://www.crunchbase.com/organization/51zhaoyou-com,Series C,150000000,USD,150000000,2018-08-01
Venture Round - ezbuy,https://www.crunchbase.com/funding_round/ezbuy-series-unknown--bb75559c,ezbuy,https://www.crunchbase.com/organization/ezbuy,Venture - Series Unknown,17600000,USD,17600000,2018-05-24
Series C - eBroker,https://www.crunchbase.com/funding_round/ebroker-series-c--7c12c2f1,eBroker,https://www.crunchbase.com/organization/ebroker,Series C,,,,2018-07-12
Series A - ZG.com,https://www.crunchbase.com/funding_round/zg-com-series-a--efa594be,ZG.com,https://www.crunchbase.com/organization/zg-com,Series A,,,,2018-06-22
Series A - Wozaijia.com,https://www.crunchbase.com/funding_round/wozaijia-com-series-a--5201b998,Wozaijia.com,https://www.crunchbase.com/organization/wozaijia-com,Series A,,,,2018-05-30
Series A - lecarlink,https://www.crunchbase.com/funding_round/lecarlink-series-a--6380ab0e,lecarlink,https://www.crunchbase.com/organization/lecarlink,Series A,,,,2018-03-30
Series A - Champzee,https://www.crunchbase.com/funding_round/champzee-series-a--e87843ba,Champzee,https://www.crunchbase.com/organization/champzee,Series A,10000000,USD,10000000,2017-12-20
Series A - Coinsuper,https://www.crunchbase.com/funding_round/coinsuper-series-a--80dfa0d4,Coinsuper,https://www.crunchbase.com/organization/coinsuper,Series A,,,,2018-07-10
Seed Round - Spot,https://www.crunchbase.com/funding_round/spot-427f-seed--a96a0c9a,Spot,https://www.crunchbase.com/organization/spot-427f,Seed,,,,2017-06-11
Series B - Energy Monster,https://www.crunchbase.com/funding_round/energy-monster-series-b--42516d34,Energy Monster,https://www.crunchbase.com/organization/energy-monster,Series B,30000000,USD,30000000,2017-11-23
Series A - Wozaijia.com,https://www.crunchbase.com/funding_round/wozaijia-com-series-a--6646ad01,Wozaijia.com,https://www.crunchbase.com/organization/wozaijia-com,Series A,5000000,USD,5000000,2017-08-30
Series D - QingCloud,https://www.crunchbase.com/funding_round/qingcloud-series-d--8754f758,QingCloud,https://www.crunchbase.com/organization/qingcloud,Series D,1080000000,CNY,158832709,2017-06-12
Series A - Zhao You,https://www.crunchbase.com/funding_round/51zhaoyou-com-series-a--27c6a5fb,Zhao You,https://www.crunchbase.com/organization/51zhaoyou-com,Series A,10000000,USD,10000000,2017-01-06
Series B - Zhao You,https://www.crunchbase.com/funding_round/51zhaoyou-com-series-b--0cff45f3,Zhao You,https://www.crunchbase.com/organization/51zhaoyou-com,Series B,31800000,USD,31800000,2017-08-25
Series B - ezbuy,https://www.crunchbase.com/funding_round/ezbuy-series-b--f09c6fd1,ezbuy,https://www.crunchbase.com/organization/ezbuy,Series B,20000000,USD,20000000,2016-03-23
Series A - eBroker,https://www.crunchbase.com/funding_round/ebroker-series-a--d58a90e8,eBroker,https://www.crunchbase.com/organization/ebroker,Series A,,,,2016-11-20
Series A - Energy Monster,https://www.crunchbase.com/funding_round/energy-monster-series-a--d80239c8,Energy Monster,https://www.crunchbase.com/organization/energy-monster,Series A,,,,2017-07-27
