Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Xingkeduo,https://www.crunchbase.com/funding_round/xingkeduo-series-b--967ea36c,Xingkeduo,https://www.crunchbase.com/organization/xingkeduo,Series B,100000000,CNY,14514630,2018-10-11
Series B - Rimag,https://www.crunchbase.com/funding_round/rimag-series-b--dededa99,Rimag,https://www.crunchbase.com/organization/rimag,Series B,19000000,USD,19000000,2018-09-18
Series E - Tuhu,https://www.crunchbase.com/funding_round/tuhu-series-e--f5e30836,Tuhu,https://www.crunchbase.com/organization/tuhu,Series E,450000000,USD,450000000,2018-09-17
Series C - Makeblock,https://www.crunchbase.com/funding_round/makeblock-series-c--8ae2a3ce,Makeblock,https://www.crunchbase.com/organization/makeblock,Series C,300000000,CNY,43830492,2018-08-30
Venture Round - Shanghai Henlius Biotech,https://www.crunchbase.com/funding_round/shanghai-henlius-biotech-series-unknown--63c0e458,Shanghai Henlius Biotech,https://www.crunchbase.com/organization/shanghai-henlius-biotech,Venture - Series Unknown,156000000,USD,156000000,2018-07-20
Series B - JD Finance,https://www.crunchbase.com/funding_round/jd-finance-series-b--871c28e5,JD Finance,https://www.crunchbase.com/organization/jd-finance,Series B,13000000000,CNY,1945467061,2018-07-11
Series B - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-series-b--67291b32,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Series B,100000000,USD,100000000,2018-06-20
Corporate Round - Meizhong Jiahe Hospital Management,https://www.crunchbase.com/funding_round/meizhong-jiahe-hospital-management-corporate-round--7e544b82,Meizhong Jiahe Hospital Management,https://www.crunchbase.com/organization/meizhong-jiahe-hospital-management,Corporate Round,1800000000,CNY,285532994,2018-04-04
Series C - 56Pingtai.net,https://www.crunchbase.com/funding_round/56pingtai-net-series-c--3d7949d9,56Pingtai.net,https://www.crunchbase.com/organization/56pingtai-net,Series C,79000000,USD,79000000,2018-03-23
Series B - PingPong,https://www.crunchbase.com/funding_round/pingpong-series-b--df5a1846,PingPong,https://www.crunchbase.com/organization/pingpong,Series B,20000000,USD,20000000,2018-03-22
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--aa35654e,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,2200000000,CNY,342639099,2018-01-18
Series E - Hupu,https://www.crunchbase.com/funding_round/hupu-series-e--04a112e1,Hupu,https://www.crunchbase.com/organization/hupu,Series E,618000000,CNY,95774886,2018-01-12
Series C - Maana,https://www.crunchbase.com/funding_round/maana-series-c--f85dd386,Maana,https://www.crunchbase.com/organization/maana,Series C,28000000,USD,28000000,2017-12-19
Series B - Tuya,https://www.crunchbase.com/funding_round/tuya-e15f-series-b--de80161f,Tuya,https://www.crunchbase.com/organization/tuya-e15f,Series B,,,,2017-10-27
Corporate Round - Zing Home,https://www.crunchbase.com/funding_round/zing-home-corporate-round--0757b6ad,Zing Home,https://www.crunchbase.com/organization/zing-home,Corporate Round,15000000,USD,15000000,2017-10-27
Series C - Gaosi Education Group,https://www.crunchbase.com/funding_round/gaosi-education-group-series-c--fda9cefd,Gaosi Education Group,https://www.crunchbase.com/organization/gaosi-education-group,Series C,550000000,CNY,83405997,2017-09-22
