Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Xgene Pharmaceutical,https://www.crunchbase.com/funding_round/xgene-pharmaceutical-series-b--6fa10d8f,Xgene Pharmaceutical,https://www.crunchbase.com/organization/xgene-pharmaceutical,Series B,20000000,USD,20000000,2018-10-25
Angel Round - Xmov,https://www.crunchbase.com/funding_round/xmov-angel--95d2b02b,Xmov,https://www.crunchbase.com/organization/xmov,Angel,,,,2018-10-19
Series F - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-f--a4ecb7e8,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series F,300000000,USD,300000000,2018-10-10
Series C - ShareChat,https://www.crunchbase.com/funding_round/sharechat-series-c--0fe38b66,ShareChat,https://www.crunchbase.com/organization/sharechat,Series C,99230000,USD,99230000,2018-09-19
Series A - ONES.AI,https://www.crunchbase.com/funding_round/ones-ai-series-a--361bb5e4,ONES.AI,https://www.crunchbase.com/organization/ones-ai,Series A,6000000,USD,6000000,2018-09-12
Series C - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-c--0f92fa25,PingCAP,https://www.crunchbase.com/organization/pingcap,Series C,50000000,USD,50000000,2018-09-11
Series F - Souche,https://www.crunchbase.com/funding_round/souche-series-f--9f437a18,Souche,https://www.crunchbase.com/organization/souche,Series F,578000000,USD,578000000,2018-09-03
Series C - BestSign,https://www.crunchbase.com/funding_round/bestsign-series-c--2da03f94,BestSign,https://www.crunchbase.com/organization/bestsign,Series C,358000000,CNY,52414277,2018-08-31
Series A - Black Fish,https://www.crunchbase.com/funding_round/black-fish-series-a--43a7e837,Black Fish,https://www.crunchbase.com/organization/black-fish,Series A,50000000,USD,50000000,2018-08-22
Series D - Maimai,https://www.crunchbase.com/funding_round/maimai-series-d--72621136,Maimai,https://www.crunchbase.com/organization/maimai,Series D,200000000,USD,200000000,2018-08-21
Series B - Thunder Stone Technology,https://www.crunchbase.com/funding_round/thunder-stone-technology-series-b--d5ff660b,Thunder Stone Technology,https://www.crunchbase.com/organization/thunder-stone-technology,Series B,200000000,CNY,29052243,2018-08-16
Series C - Red Core Security,https://www.crunchbase.com/funding_round/red-core-security-series-c--73820129,Red Core Security,https://www.crunchbase.com/organization/red-core-security,Series C,250000000,CNY,36590363,2018-08-07
Series A - Fat ball,https://www.crunchbase.com/funding_round/fat-ball-series-a--88c44897,Fat ball,https://www.crunchbase.com/organization/fat-ball,Series A,,,,2018-08-07
Series B - Genedock,https://www.crunchbase.com/funding_round/genedock-series-b--939f0d50,Genedock,https://www.crunchbase.com/organization/genedock,Series B,,,,2018-08-06
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--250ae6c2,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,4000000000,CNY,584513319,2018-08-02
Series B - Lyvgen Biopharma,https://www.crunchbase.com/funding_round/lyvgen-biopharma-series-b--1945abd3,Lyvgen Biopharma,https://www.crunchbase.com/organization/lyvgen-biopharma,Series B,,,,2018-07-18
Series A - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-a--59b4a506,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series A,102000000,USD,102000000,2018-07-11
Series A - Kaiheikeji Digital,https://www.crunchbase.com/funding_round/kaiheikeji-digital-series-a--ee80469f,Kaiheikeji Digital,https://www.crunchbase.com/organization/kaiheikeji-digital,Series A,15000000,USD,15000000,2018-07-11
Series D - Keep,https://www.crunchbase.com/funding_round/keep-3-series-d--5cf0773a,Keep,https://www.crunchbase.com/organization/keep-3,Series D,127000000,USD,127000000,2018-07-10
Series A - Shukun Technology,https://www.crunchbase.com/funding_round/shukun-technology-series-a--163b2875,Shukun Technology,https://www.crunchbase.com/organization/shukun-technology,Series A,,,,2018-07-03
Convertible Note - Stealth BioTherapeutics,https://www.crunchbase.com/funding_round/stealth-biotherapeutics-convertible-note--f6875ade,Stealth BioTherapeutics,https://www.crunchbase.com/organization/stealth-biotherapeutics,Convertible Note,100000000,USD,100000000,2018-06-18
Series A - Sandieji,https://www.crunchbase.com/funding_round/sandieji-series-a--f00eb468,Sandieji,https://www.crunchbase.com/organization/sandieji,Series A,,,,2018-06-04
Angel Round - Ultrain,https://www.crunchbase.com/funding_round/ultrain-angel--3e78795d,Ultrain,https://www.crunchbase.com/organization/ultrain,Angel,,,,2018-05-21
Series A - PhoreMost,https://www.crunchbase.com/funding_round/phoremost-series-a--e6cc6ebb,PhoreMost,https://www.crunchbase.com/organization/phoremost,Series A,15000000,USD,15000000,2018-05-15
Series C - Sensors Data,https://www.crunchbase.com/funding_round/sensors-data-series-c--7cd8d877,Sensors Data,https://www.crunchbase.com/organization/sensors-data,Series C,44000000,USD,44000000,2018-04-12
Series D - MobileMD System,https://www.crunchbase.com/funding_round/mobilemd-system-series-d--14682be6,MobileMD System,https://www.crunchbase.com/organization/mobilemd-system,Series D,47600000,USD,47600000,2018-04-09
Series A - LyncMed,https://www.crunchbase.com/funding_round/lyncmed-series-a--fd90bbe3,LyncMed,https://www.crunchbase.com/organization/lyncmed,Series A,17500000,USD,17500000,2018-04-02
Series A - Ishen365,https://www.crunchbase.com/funding_round/ishen365-series-a--975d7576,Ishen365,https://www.crunchbase.com/organization/ishen365,Series A,,,,2018-03-26
Seed Round - Man Shenyun smart lock,https://www.crunchbase.com/funding_round/man-shenyun-smart-lock-seed--d0931811,Man Shenyun smart lock,https://www.crunchbase.com/organization/man-shenyun-smart-lock,Seed,,,,2018-03-26
Series C - SEE Xiaodianpu,https://www.crunchbase.com/funding_round/see-series-c--5d3fb2ee,SEE Xiaodianpu,https://www.crunchbase.com/organization/see,Series C,,,,2018-03-21
Series B - Creams,https://www.crunchbase.com/funding_round/creams-series-b--1c14f4bd,Creams,https://www.crunchbase.com/organization/creams,Series B,,,,2018-03-12
Series B - BestSign,https://www.crunchbase.com/funding_round/bestsign-series-b--8aa282b6,BestSign,https://www.crunchbase.com/organization/bestsign,Series B,15800000,USD,15800000,2018-03-05
Series B - Avrobio,https://www.crunchbase.com/funding_round/avrobio-series-b--fe2649db,Avrobio,https://www.crunchbase.com/organization/avrobio,Series B,60000000,USD,60000000,2018-02-01
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--aa35654e,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,2200000000,CNY,342639099,2018-01-18
Series A - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-a--8c771bf6,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series A,112000000,USD,112000000,2018-01-15
Series A - Zilliz,https://www.crunchbase.com/funding_round/zilliz-series-a--276bbec5,Zilliz,https://www.crunchbase.com/organization/zilliz,Series A,10000000,USD,10000000,2018-01-15
Series A - Black Fish,https://www.crunchbase.com/funding_round/black-fish-series-a--028601b0,Black Fish,https://www.crunchbase.com/organization/black-fish,Series A,145000000,USD,145000000,2018-01-10
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--74dfc280,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,,,,2017-12-15
Series B - Etong Healthcare,https://www.crunchbase.com/funding_round/etong-healthcare-series-b--f672484e,Etong Healthcare,https://www.crunchbase.com/organization/etong-healthcare,Series B,200000000,CNY,30212393,2017-12-07
Seed Round - Yunhu Health,https://www.crunchbase.com/funding_round/yunhu-health-seed--cd436e2f,Yunhu Health,https://www.crunchbase.com/organization/yunhu-health,Seed,,,,2017-12-05
Series A - GenomiCare Biotechnology,https://www.crunchbase.com/funding_round/genomicare-biotechnology-series-a--21981b10,GenomiCare Biotechnology,https://www.crunchbase.com/organization/genomicare-biotechnology,Series A,,,,2017-12-01
Series A - Kaiheikeji Digital,https://www.crunchbase.com/funding_round/kaiheikeji-digital-series-a--185398c1,Kaiheikeji Digital,https://www.crunchbase.com/organization/kaiheikeji-digital,Series A,6800000,USD,6800000,2017-11-29
Series C - Maimai,https://www.crunchbase.com/funding_round/maimai-series-c--050f5e06,Maimai,https://www.crunchbase.com/organization/maimai,Series C,75000000,USD,75000000,2017-11-15
Series A - Qimingpian,https://www.crunchbase.com/funding_round/qimingpian-series-a--5b011296,Qimingpian,https://www.crunchbase.com/organization/qimingpian,Series A,7500000,USD,7500000,2017-11-07
Series B - Zhuiyi Technology,https://www.crunchbase.com/funding_round/zhuiyi-technology-series-b--1e85a3c0,Zhuiyi Technology,https://www.crunchbase.com/organization/zhuiyi-technology,Series B,20600000,USD,20600000,2017-11-02
Series E - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-e--482961f8,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series E,120000000,USD,120000000,2017-11-01
Series A - Horizon Robotics,https://www.crunchbase.com/funding_round/horizon-robotics-series-a--eadea635,Horizon Robotics,https://www.crunchbase.com/organization/horizon-robotics,Series A,100000000,USD,100000000,2017-10-20
Series E - Apellis Pharmaceuticals,https://www.crunchbase.com/funding_round/apellis-pharmaceuticals-series-e--68f9ac27,Apellis Pharmaceuticals,https://www.crunchbase.com/organization/apellis-pharmaceuticals,Series E,60000000,USD,60000000,2017-08-10
Series B - SenseTime,https://www.crunchbase.com/funding_round/sensetime-series-b--e324b168,SenseTime,https://www.crunchbase.com/organization/sensetime,Series B,410000000,USD,410000000,2017-07-11
Series A - Huya.com,https://www.crunchbase.com/funding_round/huya-com-series-a--a0526c58,Huya.com,https://www.crunchbase.com/organization/huya-com,Series A,75000000,USD,75000000,2017-05-18
Series D - Souche,https://www.crunchbase.com/funding_round/souche-series-d--22f3f5bf,Souche,https://www.crunchbase.com/organization/souche,Series D,180000000,USD,180000000,2017-05-11
Series A - Ark Biosciences,https://www.crunchbase.com/funding_round/ark-biosciences-series-a--bb51bc8f,Ark Biosciences,https://www.crunchbase.com/organization/ark-biosciences,Series A,,,,2017-02-06
Series D - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-d--88ce947d,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series D,65000000,USD,65000000,2016-11-02
Series A - TransThera Biosciences,https://www.crunchbase.com/funding_round/transthera-biosciences-series-a--69711620,TransThera Biosciences,https://www.crunchbase.com/organization/transthera-biosciences,Series A,10000000,USD,10000000,2016-10-13
Series B - Operator,https://www.crunchbase.com/funding_round/operator-2-series-b--cbe11128,Operator,https://www.crunchbase.com/organization/operator-2,Series B,15000000,USD,15000000,2016-09-22
Series B - Huimin,https://www.crunchbase.com/funding_round/huimin-series-b--eb91d31e,Huimin,https://www.crunchbase.com/organization/huimin,Series B,192000000,USD,192000000,2016-09-07
Series A - Zhuiyi Technology,https://www.crunchbase.com/funding_round/zhuiyi-technology-series-a--d45ec7ed,Zhuiyi Technology,https://www.crunchbase.com/organization/zhuiyi-technology,Series A,,,,2016-09-01
Series B - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-b--11523bc2,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series B,156000000,CNY,23352961,2016-08-30
Series A - SEE Xiaodianpu,https://www.crunchbase.com/funding_round/see-series-a--efa0f26f,SEE Xiaodianpu,https://www.crunchbase.com/organization/see,Series A,,,,2015-12-01
Series A - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-a--008d5408,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series A,,,,2015-08-28
Series B - Redcore Times,https://www.crunchbase.com/funding_round/allmobilize-series-b--715253c0,Redcore Times,https://www.crunchbase.com/organization/allmobilize,Series B,10000000,USD,10000000,2015-06-01
Series B - Huami,https://www.crunchbase.com/funding_round/huami-series-b--8411fdcb,Huami,https://www.crunchbase.com/organization/huami,Series B,40600000,USD,40600000,2015-04-29
Series A - Meiliche,https://www.crunchbase.com/funding_round/meiliche-financial-series-a--14811db8,Meiliche,https://www.crunchbase.com/organization/meiliche-financial,Series A,65000000,USD,65000000,2015-01-01
Series A - Huami,https://www.crunchbase.com/funding_round/huami-series-a--5a633b0b,Huami,https://www.crunchbase.com/organization/huami,Series A,35000000,USD,35000000,2014-12-05
Series B - Maimai,https://www.crunchbase.com/funding_round/maimai-series-b--a0e7e7bd,Maimai,https://www.crunchbase.com/organization/maimai,Series B,20000000,USD,20000000,2014-08-14
Series A - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-a--f5b39815,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series A,,,,2014-08-14
Series A - Maimai,https://www.crunchbase.com/funding_round/maimai-series-a--feedccbb,Maimai,https://www.crunchbase.com/organization/maimai,Series A,5000000,USD,5000000,2013-08-13
Venture Round - CellCentric,https://www.crunchbase.com/funding_round/cellcentric-series-unknown--cc8c7c7d,CellCentric,https://www.crunchbase.com/organization/cellcentric,Venture - Series Unknown,4300000,GBP,6631852,2013-06-25
Series B - Snowball Finance,https://www.crunchbase.com/funding_round/snowball-finance-series-b--9ae6b95d,Snowball Finance,https://www.crunchbase.com/organization/snowball-finance,Series B,10000000,USD,10000000,2013-06-01
Series B - Xiaomi,https://www.crunchbase.com/funding_round/xiaomi-series-b--b3ad502c,Xiaomi,https://www.crunchbase.com/organization/xiaomi,Series B,90000000,USD,90000000,2011-12-20
Series A - aihuishou,https://www.crunchbase.com/funding_round/aihuishou-series-a--33796d86,aihuishou,https://www.crunchbase.com/organization/aihuishou,Series A,2000000,USD,2000000,2011-10-01
Series C - Xunlei,https://www.crunchbase.com/funding_round/kankan-series-c--1340031f,Xunlei,https://www.crunchbase.com/organization/kankan,Series C,20000000,USD,20000000,2007-01-05
