Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Linlinyi,https://www.crunchbase.com/funding_round/linlinyi-series-a--cc6daab8,Linlinyi,https://www.crunchbase.com/organization/linlinyi,Series A,,,,2018-10-26
Series A - Familyone,https://www.crunchbase.com/funding_round/familyone-series-a--d4c0be72,Familyone,https://www.crunchbase.com/organization/familyone,Series A,10000000,USD,10000000,2018-10-26
Series B - Magnet Finance,https://www.crunchbase.com/funding_round/magnetic-finance-series-b--eff97d41,Magnet Finance,https://www.crunchbase.com/organization/magnetic-finance,Series B,120000000,CNY,17281105,2018-10-24
Angel Round - Bthub,https://www.crunchbase.com/funding_round/bthub-angel--66fccbab,Bthub,https://www.crunchbase.com/organization/bthub,Angel,,,,2018-10-24
Series D - Edianzu,https://www.crunchbase.com/funding_round/edianzu-series-d--f8d5570b,Edianzu,https://www.crunchbase.com/organization/edianzu,Series D,60000000,USD,60000000,2018-10-16
Series D - Yijiupi.com,https://www.crunchbase.com/funding_round/yijiupi-com-series-d--9151c548,Yijiupi.com,https://www.crunchbase.com/organization/yijiupi-com,Series D,200000000,USD,200000000,2018-09-20
Series B - Weimai,https://www.crunchbase.com/funding_round/weimai-series-b--ea4614b5,Weimai,https://www.crunchbase.com/organization/weimai,Series B,30000000,USD,30000000,2018-09-13
Series B - JuLive.com,https://www.crunchbase.com/funding_round/julive-com-series-b--cc8e2d67,JuLive.com,https://www.crunchbase.com/organization/julive-com,Series B,,,,2018-09-07
Series B - Yihang.ai,https://www.crunchbase.com/funding_round/yihang-ai-series-b--b24ad4cb,Yihang.ai,https://www.crunchbase.com/organization/yihang-ai,Series B,220000000,CNY,32256645,2018-08-29
Series C - Baibu,https://www.crunchbase.com/funding_round/baibu-series-c--2345a331,Baibu,https://www.crunchbase.com/organization/baibu,Series C,30000000,USD,30000000,2018-08-29
Series A - Hetao101.com,https://www.crunchbase.com/funding_round/hetao101-com-series-a--9721dc6a,Hetao101.com,https://www.crunchbase.com/organization/hetao101-com,Series A,,,,2018-07-09
Series D - Huifenqi,https://www.crunchbase.com/funding_round/huifenqi-series-d--d6e35f1c,Huifenqi,https://www.crunchbase.com/organization/huifenqi,Series D,,,,2018-07-06
Series C - Haifeng Education,https://www.crunchbase.com/funding_round/haifeng-education-series-c--9759d056,Haifeng Education,https://www.crunchbase.com/organization/haifeng-education,Series C,,,,2018-07-04
Series A - Cheduoduo,https://www.crunchbase.com/funding_round/cheduoduo-series-a--d958ba65,Cheduoduo,https://www.crunchbase.com/organization/cheduoduo,Series A,17700000,USD,17700000,2018-06-14
Angel Round - Hope and Rising,https://www.crunchbase.com/funding_round/hope-and-rising-angel--61938ab8,Hope and Rising,https://www.crunchbase.com/organization/hope-and-rising,Angel,,,,2018-06-13
Series C - Yimidida,https://www.crunchbase.com/funding_round/yimidida-series-c--b42038c2,Yimidida,https://www.crunchbase.com/organization/yimidida,Series C,79000000,USD,79000000,2018-04-25
Series C - Nongfenqi,https://www.crunchbase.com/funding_round/nongfenqi-series-c--3ff1692e,Nongfenqi,https://www.crunchbase.com/organization/nongfenqi,Series C,,,,2018-04-09
Series B - Zskuaixiao,https://www.crunchbase.com/funding_round/zskuaixiao-series-b--7b7558e2,Zskuaixiao,https://www.crunchbase.com/organization/zskuaixiao,Series B,33000000,USD,33000000,2018-03-26
Series B - CHJ Automotive (Chehejia),https://www.crunchbase.com/funding_round/chehejia-series-b--10d5df80,CHJ Automotive (Chehejia),https://www.crunchbase.com/organization/chehejia,Series B,3000000000,CNY,473447486,2018-03-22
Series C - Edianzu,https://www.crunchbase.com/funding_round/edianzu-series-c--13600bb2,Edianzu,https://www.crunchbase.com/organization/edianzu,Series C,32000000,USD,32000000,2018-03-21
Series A - DeepMotion,https://www.crunchbase.com/funding_round/deepmotion-2d0b-series-a--43f37d89,DeepMotion,https://www.crunchbase.com/organization/deepmotion-2d0b,Series A,,,,2018-03-19
Series B - Zichan360,https://www.crunchbase.com/funding_round/zichan360-资产360-series-b--ba481d89,Zichan360,https://www.crunchbase.com/organization/zichan360-资产360,Series B,,,,2018-01-22
Series B - Pagoda,https://www.crunchbase.com/funding_round/pagoda-series-b--91b0a499,Pagoda,https://www.crunchbase.com/organization/pagoda,Series B,1500000000,CNY,230900666,2018-01-11
Series C - Haifeng Education,https://www.crunchbase.com/funding_round/haifeng-education-series-c--aaeaa77a,Haifeng Education,https://www.crunchbase.com/organization/haifeng-education,Series C,,,,2018-01-04
Series C - Hyphen Education,https://www.crunchbase.com/funding_round/hyphen-education-series-c--04ed98e1,Hyphen Education,https://www.crunchbase.com/organization/hyphen-education,Series C,,,,2018-01-04
Series A - RozBuzz,https://www.crunchbase.com/funding_round/rozbuzz-series-a--a6d498fd,RozBuzz,https://www.crunchbase.com/organization/rozbuzz,Series A,,,,2017-11-30
Series B - Huishoubao,https://www.crunchbase.com/funding_round/huishoubao-series-b--151dcec5,Huishoubao,https://www.crunchbase.com/organization/huishoubao,Series B,45000000,USD,45000000,2017-10-10
Series C - Feidee,https://www.crunchbase.com/funding_round/feidee-series-c--4ebcd79b,Feidee,https://www.crunchbase.com/organization/feidee,Series C,200000000,USD,200000000,2017-09-25
Series A - Abbots Technology,https://www.crunchbase.com/funding_round/abcfintech-aberts-technology-series-a--8ab951ad,Abbots Technology,https://www.crunchbase.com/organization/abcfintech-aberts-technology,Series A,30000000,USD,30000000,2017-09-01
Series A - ABC Fintech,https://www.crunchbase.com/funding_round/abc-fintech-series-a--6e5586af,ABC Fintech,https://www.crunchbase.com/organization/abc-fintech,Series A,30000000,USD,30000000,2017-08-31
