Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Cobo Wallet,https://www.crunchbase.com/funding_round/cobo-wallet-series-a--f443fc4d,Cobo Wallet,https://www.crunchbase.com/organization/cobo-wallet,Series A,13000000,USD,13000000,2018-10-17
Series A - Roadstar.ai,https://www.crunchbase.com/funding_round/roadstar-ai-series-a--7dc7e285,Roadstar.ai,https://www.crunchbase.com/organization/roadstar-ai,Series A,128000000,USD,128000000,2018-05-15
Series A - Newtop100.com,https://www.crunchbase.com/funding_round/newtop100-com-series-a--8fa0baee,Newtop100.com,https://www.crunchbase.com/organization/newtop100-com,Series A,,,,2018-07-19
Series A - Kangaroo Mama,https://www.crunchbase.com/funding_round/kangaroo-mama-series-a--536715ae,Kangaroo Mama,https://www.crunchbase.com/organization/kangaroo-mama,Series A,,,,2018-06-29
Series A - Horizon Robotics,https://www.crunchbase.com/funding_round/horizon-robotics-series-a--eadea635,Horizon Robotics,https://www.crunchbase.com/organization/horizon-robotics,Series A,100000000,USD,100000000,2017-10-20
Series A - Youyang,https://www.crunchbase.com/funding_round/youyang-series-a--83eb77b7,Youyang,https://www.crunchbase.com/organization/youyang,Series A,9500000,USD,9500000,2018-03-05
Series B - laiye,https://www.crunchbase.com/funding_round/laiye-series-b--85607395,laiye,https://www.crunchbase.com/organization/laiye,Series B,,,,2017-12-21
Series B - Zhulilaiye,https://www.crunchbase.com/funding_round/zhulilaiye-series-b--bbb51151,Zhulilaiye,https://www.crunchbase.com/organization/zhulilaiye,Series B,,,,2017-12-21
Series A - Horizon Robotics,https://www.crunchbase.com/funding_round/horizon-robotics-series-a--419a73f5,Horizon Robotics,https://www.crunchbase.com/organization/horizon-robotics,Series A,,,,2016-06-02
Series C - Cui Yutao Health Management Center,https://www.crunchbase.com/funding_round/cui-yutao-health-management-center-series-c--ab4abd0f,Cui Yutao Health Management Center,https://www.crunchbase.com/organization/cui-yutao-health-management-center,Series C,20000000,USD,20000000,2017-01-13
Series C - LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/funding_round/liulishuo-series-c--dc2d8875,LAIX LingoChamp (Liulishuo),https://www.crunchbase.com/organization/liulishuo,Series C,100000000,USD,100000000,2017-07-26
Series B - Cui Yutao Health Management Center,https://www.crunchbase.com/funding_round/cui-yutao-health-management-center-series-b--6a58b853,Cui Yutao Health Management Center,https://www.crunchbase.com/organization/cui-yutao-health-management-center,Series B,10000000,USD,10000000,2016-01-01
