Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - WeWork China,https://www.crunchbase.com/funding_round/wework-china-series-a--20086312,WeWork China,https://www.crunchbase.com/organization/wework-china,Series A,500000000,USD,500000000,2017-07-27
Series C - I-Mab Biopharma,https://www.crunchbase.com/funding_round/i-mab-biopharma-series-c--fb99ed9f,I-Mab Biopharma,https://www.crunchbase.com/organization/i-mab-biopharma,Series C,220000000,USD,220000000,2018-06-29
Series B - WeWork China,https://www.crunchbase.com/funding_round/wework-china-series-b--d5147892,WeWork China,https://www.crunchbase.com/organization/wework-china,Series B,500000000,USD,500000000,2018-07-26
Series B - Qianqiu old culture,https://www.crunchbase.com/funding_round/qianqiu-old-culture-series-b--6c5e8f35,Qianqiu old culture,https://www.crunchbase.com/organization/qianqiu-old-culture,Series B,,,,2018-07-26
Series C - Linmon Pictures,https://www.crunchbase.com/funding_round/linmon-pictures-series-c--c3334981,Linmon Pictures,https://www.crunchbase.com/organization/linmon-pictures,Series C,,,,2018-03-12
Venture Round - WeWork,https://www.crunchbase.com/funding_round/wework-series-unknown--4f9d5ae1,WeWork,https://www.crunchbase.com/organization/wework,Venture - Series Unknown,500000000,USD,500000000,2017-08-07
Series A - Happigo.com,https://www.crunchbase.com/funding_round/happigo-com-series-a--1fbf4d64,Happigo.com,https://www.crunchbase.com/organization/happigo-com,Series A,300000000,CNY,43943070,2010-04-01
Corporate Round - Xinyisoft,https://www.crunchbase.com/funding_round/xinyisoft-corporate-round--b6cfb7c9,Xinyisoft,https://www.crunchbase.com/organization/xinyisoft,Corporate Round,,,,2017-11-02
Series F - WeWork,https://www.crunchbase.com/funding_round/wework-series-f--f42a9a3a,WeWork,https://www.crunchbase.com/organization/wework,Series F,690000000,USD,690000000,2016-11-12
Venture Round - STX Entertainment,https://www.crunchbase.com/funding_round/stx-entertainment-series-unknown--2b2cd7b1,STX Entertainment,https://www.crunchbase.com/organization/stx-entertainment,Venture - Series Unknown,,,,2014-03-01
Series E - ofo,https://www.crunchbase.com/funding_round/ofo-series-e--bf9f9336,ofo,https://www.crunchbase.com/organization/ofo,Series E,700000000,USD,700000000,2017-07-05
Venture Round - Vuclip,https://www.crunchbase.com/funding_round/vuclip-series-unknown--da9ec58e,Vuclip,https://www.crunchbase.com/organization/vuclip,Venture - Series Unknown,110000000,USD,110000000,2017-08-13
Venture Round - Deem,https://www.crunchbase.com/funding_round/deem-series-unknown--505d4af7,Deem,https://www.crunchbase.com/organization/deem,Venture - Series Unknown,34000000,USD,34000000,2016-04-21
Venture Round - Deem,https://www.crunchbase.com/funding_round/deem-series-unknown--0b19a22c,Deem,https://www.crunchbase.com/organization/deem,Venture - Series Unknown,50000000,USD,50000000,2014-07-23
Post-IPO Equity - Tuniu,https://www.crunchbase.com/funding_round/tuniu-com-post-ipo-equity--3d2b6c64,Tuniu,https://www.crunchbase.com/organization/tuniu-com,Post-IPO Equity,500000000,USD,500000000,2015-05-08
Private Equity Round - PPTV,https://www.crunchbase.com/funding_round/pptv-private-equity--84104a63,PPTV,https://www.crunchbase.com/organization/pptv,Private Equity,420000000,USD,420000000,2013-10-28
Series B - Linmon Pictures,https://www.crunchbase.com/funding_round/linmon-pictures-series-b--ccff6b9c,Linmon Pictures,https://www.crunchbase.com/organization/linmon-pictures,Series B,76000000,USD,76000000,2016-03-08
Post-IPO Equity - Tuniu,https://www.crunchbase.com/funding_round/tuniu-com-post-ipo-equity--296de362,Tuniu,https://www.crunchbase.com/organization/tuniu-com,Post-IPO Equity,148000000,USD,148000000,2014-12-15
Venture Round - Xishaoye Roujiamo,https://www.crunchbase.com/funding_round/xishaoye-roujiamo-series-unknown--01bb38f3,Xishaoye Roujiamo,https://www.crunchbase.com/organization/xishaoye-roujiamo,Venture - Series Unknown,11500000,USD,11500000,2016-12-15
Series B - Ningmeng Pictures,https://www.crunchbase.com/funding_round/ningmeng-pictures-series-b--9c5d8efd,Ningmeng Pictures,https://www.crunchbase.com/organization/ningmeng-pictures,Series B,76000000,USD,76000000,2016-03-11
Funding Round - Mr&Mrs Italy,https://www.crunchbase.com/funding_round/mr-mrs-italy-undisclosed--66ffebea,Mr&Mrs Italy,https://www.crunchbase.com/organization/mr-mrs-italy,Funding Round,,,,2017-10-18
